Wall time,Step,Value
1773832053.816631,0,23.0
1773832053.9147985,1,52.0
1773832053.948089,2,18.0
1773832053.9702804,3,11.0
1773832053.9939947,4,19.0
1773832054.0307033,5,19.0
1773832054.0463157,6,13.0
1773832054.0702605,7,13.0
1773832054.0983033,8,15.0
1773832054.186836,9,38.0
1773832054.2082138,10,11.0
1773832054.22626,11,14.0
1773832054.2910511,12,37.0
1773832054.3182585,13,15.0
1773832054.3518882,14,29.0
1773832054.3973744,15,26.0
1773832054.4485111,16,21.0
1773832054.4692929,17,12.0
1773832054.4896486,18,16.0
1773832054.522654,19,18.0
1773832054.6235468,20,43.0
1773832054.6549766,21,17.0
1773832054.7163372,22,32.0
1773832054.7622867,23,24.0
1773832054.7834542,24,11.0
1773832054.806068,25,10.0
1773832054.874329,26,36.0
1773832054.9062445,27,17.0
1773832054.9331398,28,14.0
1773832054.9565642,29,16.0
1773832054.9808052,30,20.0
1773832055.031433,31,31.0
1773832055.0740075,32,24.0
1773832055.111066,33,19.0
1773832055.1346858,34,18.0
1773832055.161529,35,14.0
1773832055.194377,36,19.0
1773832055.2348676,37,21.0
1773832055.2666833,38,16.0
1773832055.354514,39,37.0
1773832055.3780231,40,11.0
1773832055.4159417,41,21.0
1773832055.4548457,42,20.0
1773832055.4902809,43,18.0
1773832055.5239027,44,18.0
1773832055.5486577,45,13.0
1773832055.626086,46,46.0
1773832055.6543899,47,12.0
1773832055.7758856,48,66.0
1773832055.8498797,49,39.0
1773832055.918323,50,36.0
1773832055.9659379,51,25.0
1773832056.0116136,52,20.0
1773832056.0379934,53,14.0
1773832056.0547404,54,13.0
1773832056.08692,55,16.0
1773832056.1206686,56,19.0
1773832056.152637,57,16.0
1773832056.1916623,58,21.0
1773832056.2258618,59,18.0
1773832056.2497537,60,18.0
1773832056.2894087,61,19.0
1773832056.3364296,62,25.0
1773832056.3747487,63,17.0
1773832056.423234,64,21.0
1773832056.454843,65,16.0
1773832056.5891223,66,72.0
1773832056.6307287,67,25.0
1773832056.6633956,68,19.0
1773832056.7122273,69,28.0
1773832056.792991,70,47.0
1773832056.8155973,71,10.0
1773832056.885266,72,37.0
1773832056.907103,73,16.0
1773832056.9313657,74,13.0
1773832056.9960883,75,55.0
1773832057.048469,76,28.0
1773832057.073346,77,13.0
1773832057.0996294,78,14.0
1773832057.1399746,79,25.0
1773832057.173668,80,19.0
1773832057.2029343,81,25.0
1773832057.27885,82,40.0
1773832057.367047,83,51.0
1773832057.4149392,84,25.0
1773832057.4489064,85,18.0
1773832057.4694064,86,17.0
1773832057.5075684,87,19.0
1773832057.5375054,88,15.0
1773832057.6518884,89,61.0
1773832057.7335184,90,43.0
1773832057.8346999,91,54.0
1773832057.86486,92,25.0
1773832057.888103,93,13.0
1773832057.9582705,94,38.0
1773832058.030622,95,62.0
1773832058.0806494,96,21.0
1773832058.1341248,97,29.0
1773832058.1747525,98,34.0
1773832058.2039332,99,17.0
1773832058.2657998,100,35.0
1773832058.296973,101,26.0
1773832058.3123288,102,10.0
1773832058.4313052,103,67.0
1773832058.522159,104,61.0
1773832058.5995135,105,44.0
1773832058.6779532,106,42.0
1773832058.7034123,107,12.0
1773832058.7387245,108,19.0
1773832058.8051963,109,55.0
1773832058.854555,110,27.0
1773832058.8927577,111,21.0
1773832058.9351096,112,24.0
1773832058.9809573,113,39.0
1773832059.0534499,114,42.0
1773832059.1066382,115,28.0
1773832059.1732721,116,35.0
1773832059.201629,117,15.0
1773832059.237535,118,20.0
1773832059.339363,119,60.0
1773832059.4650528,120,56.0
1773832059.5120175,121,24.0
1773832059.5367827,122,20.0
1773832059.5943768,123,24.0
1773832059.623397,124,15.0
1773832059.6576762,125,18.0
1773832059.7790093,126,64.0
1773832059.8919868,127,61.0
1773832059.9434211,128,29.0
1773832060.0049167,129,52.0
1773832060.0702474,130,38.0
1773832060.0937817,131,12.0
1773832060.1240284,132,25.0
1773832060.1940458,133,29.0
1773832060.2296202,134,20.0
1773832060.2758663,135,39.0
