Wall time,Step,Value
1773832216.0697048,0,15.0
1773832216.1366136,1,15.0
1773832216.2506618,2,26.0
1773832216.3085651,3,13.0
1773832216.4305968,4,28.0
1773832216.55304,5,41.0
1773832216.7166595,6,43.0
1773832216.8660867,7,29.0
1773832216.9487321,8,33.0
1773832216.9854045,9,14.0
1773832217.0287616,10,18.0
1773832217.0650213,11,14.0
1773832217.122052,12,24.0
1773832217.1969106,13,31.0
1773832217.240292,14,18.0
1773832217.2992115,15,25.0
1773832217.3619213,16,16.0
1773832217.4128754,17,15.0
1773832217.4839911,18,14.0
1773832217.545733,19,14.0
1773832217.5931635,20,14.0
1773832217.6504898,21,17.0
1773832217.7170355,22,17.0
1773832217.7652943,23,20.0
1773832217.8522644,24,20.0
1773832217.892974,25,9.0
1773832218.014902,26,26.0
1773832218.0483758,27,11.0
1773832218.1143584,28,16.0
1773832218.1716774,29,13.0
1773832218.2495162,30,18.0
1773832218.3275623,31,18.0
1773832218.3895462,32,16.0
1773832218.4876158,33,30.0
1773832218.5456154,34,19.0
1773832218.6474469,35,20.0
1773832218.7552543,36,25.0
1773832218.8258393,37,16.0
1773832218.8832726,38,13.0
1773832219.091651,39,49.0
1773832219.4422119,40,81.0
1773832219.5220363,41,18.0
1773832219.5725653,42,13.0
1773832219.6690145,43,23.0
1773832219.7813416,44,27.0
1773832219.9492695,45,28.0
1773832220.074147,46,35.0
1773832220.205133,47,32.0
1773832220.2938018,48,21.0
1773832220.372481,49,18.0
1773832220.4886498,50,28.0
1773832220.5711865,51,16.0
1773832220.7230778,52,34.0
1773832220.9704092,53,57.0
1773832221.052816,54,18.0
1773832221.2415135,55,43.0
1773832221.3357093,56,38.0
1773832221.4121058,57,17.0
1773832221.5036566,58,31.0
1773832221.668636,59,30.0
1773832221.7581549,60,15.0
1773832221.8286653,61,28.0
1773832221.9477503,62,18.0
1773832222.046381,63,14.0
1773832222.2193294,64,25.0
1773832222.2702444,65,11.0
1773832222.3542693,66,23.0
1773832222.4502172,67,27.0
1773832222.5967348,68,42.0
1773832222.6580954,69,10.0
1773832222.7392077,70,23.0
1773832222.8690972,71,48.0
1773832222.9211295,72,15.0
1773832222.969611,73,10.0
1773832223.0660245,74,16.0
1773832223.3002052,75,39.0
1773832223.3669107,76,11.0
1773832223.668099,77,68.0
1773832223.788285,78,26.0
1773832223.8655024,79,25.0
1773832223.9438457,80,18.0
1773832224.0367858,81,25.0
1773832224.1012025,82,18.0
1773832224.2428212,83,29.0
1773832224.3283606,84,15.0
1773832224.4195716,85,26.0
1773832224.4986584,86,13.0
1773832224.570012,87,15.0
1773832224.8324044,88,44.0
1773832224.909481,89,23.0
1773832224.993823,90,25.0
1773832225.0370035,91,12.0
1773832225.1082718,92,22.0
1773832225.1833808,93,17.0
1773832225.3461168,94,44.0
1773832225.4131737,95,20.0
1773832225.4579911,96,12.0
1773832225.520433,97,18.0
1773832225.608231,98,20.0
1773832225.6682208,99,10.0
1773832225.7825196,100,21.0
1773832225.8359747,101,11.0
1773832225.9066057,102,21.0
1773832225.947521,103,16.0
1773832225.9974551,104,15.0
1773832226.1025674,105,32.0
1773832226.1569571,106,16.0
1773832226.2383835,107,25.0
1773832226.348821,108,34.0
1773832226.4817507,109,41.0
1773832226.5488117,110,20.0
1773832226.594517,111,13.0
1773832226.7083757,112,23.0
1773832226.8195686,113,19.0
1773832226.8584723,114,11.0
1773832226.9006364,115,16.0
1773832227.086556,116,59.0
1773832227.1843586,117,25.0
1773832227.2764242,118,28.0
1773832227.358489,119,25.0
1773832227.4133174,120,16.0
1773832227.4649067,121,13.0
1773832227.5022647,122,14.0
1773832227.587122,123,26.0
1773832227.7353644,124,34.0
1773832227.8166633,125,25.0
1773832227.909091,126,16.0
1773832227.9664214,127,17.0
1773832228.0684345,128,31.0
1773832228.207881,129,44.0
1773832228.3448675,130,22.0
1773832228.481924,131,42.0
1773832228.625829,132,44.0
1773832228.781275,133,48.0
1773832228.9824188,134,59.0
1773832229.0614655,135,15.0
1773832229.1360435,136,22.0
1773832229.1980927,137,18.0
1773832229.2681844,138,16.0
1773832229.3130503,139,13.0
1773832229.3873975,140,19.0
1773832229.4447777,141,19.0
1773832229.5251703,142,18.0
1773832229.667311,143,33.0
1773832229.7395232,144,16.0
1773832229.8147287,145,17.0
1773832229.9167883,146,31.0
1773832230.1842742,147,79.0
1773832230.2246447,148,11.0
1773832230.3411546,149,17.0
1773832230.5768664,150,40.0
1773832230.6212862,151,17.0
1773832230.6665618,152,13.0
1773832230.767435,153,31.0
1773832230.8828046,154,35.0
1773832230.9648643,155,14.0
1773832231.0584474,156,15.0
1773832231.1324828,157,30.0
1773832231.5973434,158,79.0
1773832231.7123406,159,30.0
1773832231.758258,160,13.0
1773832231.8325322,161,22.0
1773832231.8969095,162,14.0
1773832231.9518912,163,22.0
1773832232.0223584,164,12.0
1773832232.1311405,165,33.0
1773832232.2860818,166,48.0
1773832232.332062,167,13.0
1773832232.4952304,168,51.0
1773832232.569245,169,17.0
1773832232.8630812,170,70.0
1773832233.0128238,171,35.0
1773832233.117786,172,24.0
1773832233.1784732,173,13.0
1773832233.2420542,174,26.0
1773832233.2930908,175,15.0
1773832233.4963453,176,64.0
1773832233.6652725,177,43.0
1773832233.7680714,178,31.0
1773832233.9556105,179,44.0
1773832234.025977,180,16.0
1773832234.1279297,181,17.0
1773832234.1853929,182,15.0
1773832234.4086134,183,40.0
1773832234.5022662,184,28.0
1773832234.7306063,185,48.0
1773832234.9764915,186,57.0
1773832235.165996,187,59.0
1773832235.2949085,188,31.0
1773832235.38352,189,27.0
1773832235.471174,190,26.0
1773832235.5229735,191,15.0
1773832235.6698253,192,46.0
1773832235.7578266,193,17.0
1773832235.8746655,194,36.0
1773832235.9257445,195,15.0
1773832236.0312293,196,21.0
1773832236.0927007,197,25.0
1773832236.1345458,198,12.0
1773832236.4280803,199,69.0
1773832236.5557668,200,29.0
1773832236.7676702,201,67.0
1773832236.879805,202,22.0
1773832236.927594,203,19.0
1773832237.0971553,204,40.0
1773832237.2502782,205,50.0
1773832237.330804,206,24.0
1773832237.4891417,207,49.0
1773832237.5305429,208,17.0
1773832237.5933166,209,26.0
1773832237.6470876,210,21.0
1773832237.70578,211,12.0
1773832237.7593303,212,16.0
1773832238.0611913,213,60.0
1773832238.2226772,214,50.0
1773832238.3089428,215,17.0
1773832238.4324148,216,29.0
1773832238.6376047,217,48.0
1773832238.730664,218,39.0
1773832238.7742882,219,12.0
1773832238.8263927,220,15.0
1773832238.8945115,221,20.0
1773832238.9836543,222,38.0
1773832239.1972091,223,55.0
1773832239.2486494,224,14.0
1773832239.2837114,225,12.0
1773832239.5486882,226,63.0
1773832239.6386478,227,27.0
1773832239.7074616,228,21.0
1773832239.8082407,229,35.0
1773832240.0755696,230,85.0
1773832240.1732779,231,20.0
1773832240.242789,232,19.0
1773832240.352723,233,22.0
1773832240.4519327,234,42.0
1773832240.604154,235,47.0
1773832240.7023995,236,30.0
1773832240.7964518,237,20.0
1773832241.021801,238,53.0
1773832241.1562827,239,31.0
1773832241.2578363,240,23.0
1773832241.4197536,241,38.0
1773832241.7731862,242,83.0
1773832241.8830585,243,25.0
1773832242.0711594,244,43.0
1773832242.1531038,245,18.0
1773832242.3624854,246,56.0
1773832242.6218562,247,61.0
1773832242.8265994,248,54.0
1773832242.941529,249,35.0
1773832243.1145756,250,54.0
1773832243.1946192,251,16.0
1773832243.3537302,252,62.0
1773832243.4450173,253,28.0
1773832243.5246813,254,18.0
1773832243.892801,255,87.0
1773832244.0456417,256,35.0
1773832244.176717,257,32.0
1773832244.2250342,258,19.0
1773832244.3951504,259,54.0
1773832244.4701388,260,22.0
1773832244.6121118,261,38.0
1773832244.7401726,262,29.0
1773832244.8374517,263,22.0
1773832244.9901338,264,46.0
1773832245.2448914,265,62.0
1773832245.4494534,266,55.0
1773832245.5467832,267,26.0
1773832245.9137971,268,89.0
1773832246.0110674,269,29.0
1773832246.1630735,270,48.0
1773832246.6098611,271,122.0
1773832246.7099183,272,22.0
1773832246.8327563,273,28.0
1773832247.0459611,274,50.0
1773832247.1526408,275,28.0
1773832247.2547922,276,26.0
1773832247.6350496,277,87.0
1773832248.085596,278,103.0
1773832248.174947,279,27.0
1773832248.2322814,280,17.0
1773832248.3351884,281,22.0
1773832248.9766371,282,136.0
1773832249.170969,283,82.0
1773832249.3995285,284,72.0
1773832249.6273284,285,72.0
1773832249.8207278,286,48.0
1773832249.960458,287,43.0
1773832250.3061647,288,71.0
1773832250.3556027,289,18.0
1773832250.4960687,290,43.0
1773832250.7121193,291,67.0
1773832250.8896608,292,30.0
1773832251.0272765,293,58.0
1773832251.1332762,294,32.0
1773832251.1953633,295,18.0
1773832251.5160422,296,47.0
1773832251.7104838,297,47.0
1773832251.8445385,298,41.0
1773832252.002407,299,48.0
1773832252.1881974,300,43.0
1773832252.6091123,301,71.0
1773832252.7480319,302,51.0
1773832252.8902867,303,43.0
1773832252.9867382,304,29.0
1773832253.0685499,305,24.0
1773832253.3132315,306,77.0
1773832253.4384768,307,52.0
1773832253.6157277,308,55.0
1773832253.8518884,309,74.0
1773832253.9740582,310,42.0
1773832254.1517577,311,55.0
1773832254.236731,312,13.0
1773832254.3271234,313,15.0
1773832254.5717206,314,41.0
1773832254.9542599,315,78.0
1773832255.377437,316,72.0
1773832255.687434,317,52.0
1773832255.8652668,318,45.0
1773832255.9650183,319,24.0
1773832256.0538428,320,21.0
1773832256.5031257,321,90.0
1773832256.5741277,322,14.0
1773832256.7252638,323,37.0
1773832257.1358266,324,90.0
1773832257.368039,325,57.0
1773832257.5198894,326,37.0
1773832257.7596743,327,57.0
1773832258.6185033,328,140.0
1773832258.8458304,329,58.0
1773832259.1596913,330,107.0
1773832259.7347085,331,77.0
1773832259.8158445,332,19.0
1773832260.0122,333,75.0
1773832260.179525,334,37.0
1773832260.8570082,335,117.0
1773832261.0234954,336,38.0
1773832261.116239,337,37.0
1773832261.2639606,338,36.0
1773832261.4747922,339,78.0
1773832261.7030778,340,57.0
1773832262.1354108,341,112.0
1773832262.2986004,342,40.0
1773832262.47663,343,44.0
1773832262.5659037,344,21.0
1773832262.7638125,345,49.0
1773832263.0207314,346,59.0
