Wall time,Step,Value
1773831974.6344583,0,21.0
1773831974.6521513,1,25.0
1773831974.6601162,2,12.0
1773831974.6826227,3,34.0
1773831974.689545,4,10.0
1773831974.7083683,5,28.0
1773831974.7195277,6,16.0
1773831974.7290163,7,14.0
1773831974.7468085,8,25.0
1773831974.7721093,9,39.0
1773831974.7811384,10,13.0
1773831974.789959,11,12.0
1773831974.8023117,12,17.0
1773831974.815648,13,20.0
1773831974.8269649,14,17.0
1773831974.8412,15,22.0
1773831974.8531117,16,18.0
1773831974.8671327,17,20.0
1773831974.875653,18,13.0
1773831974.8919315,19,24.0
1773831974.9082043,20,23.0
1773831974.9169743,21,12.0
1773831974.9416404,22,37.0
1773831974.966499,23,38.0
1773831974.9863484,24,28.0
1773831974.9956617,25,13.0
1773831975.0158868,26,31.0
1773831975.0279114,27,16.0
1773831975.0378594,28,14.0
1773831975.0457003,29,10.0
1773831975.0753632,30,44.0
1773831975.084669,31,13.0
1773831975.0996737,32,22.0
1773831975.108572,33,12.0
1773831975.1215963,34,18.0
1773831975.133549,35,17.0
1773831975.1428566,36,13.0
1773831975.1596122,37,23.0
1773831975.1841285,38,36.0
1773831975.1952472,39,16.0
1773831975.2041879,40,12.0
1773831975.2114093,41,10.0
1773831975.2185519,42,10.0
1773831975.240149,43,32.0
1773831975.250393,44,13.0
1773831975.2577298,45,10.0
1773831975.2676027,46,14.0
1773831975.2865047,47,27.0
1773831975.2958355,48,12.0
1773831975.3056946,49,14.0
1773831975.3138347,50,11.0
1773831975.326193,51,17.0
1773831975.3372066,52,15.0
1773831975.3471544,53,14.0
1773831975.3822894,54,53.0
1773831975.3984272,55,23.0
1773831975.436829,56,58.0
1773831975.4466498,57,15.0
1773831975.4663792,58,30.0
1773831975.4850338,59,28.0
1773831975.4950385,60,14.0
1773831975.5017483,61,9.0
1773831975.5112243,62,13.0
1773831975.5191984,63,10.0
1773831975.5269182,64,10.0
1773831975.537233,65,15.0
1773831975.5443413,66,9.0
1773831975.5515804,67,10.0
1773831975.5636358,68,16.0
1773831975.5728056,69,13.0
1773831975.5807912,70,11.0
1773831975.5881872,71,9.0
1773831975.5947397,72,9.0
1773831975.6039238,73,12.0
1773831975.615169,74,16.0
1773831975.6236916,75,12.0
1773831975.632792,76,13.0
1773831975.6461227,77,19.0
1773831975.6586246,78,16.0
1773831975.6746178,79,24.0
1773831975.6828132,80,10.0
1773831975.6965408,81,20.0
1773831975.7406769,82,66.0
1773831975.756872,83,23.0
1773831975.7713642,84,21.0
1773831975.779898,85,10.0
1773831975.8003533,86,31.0
1773831975.8169343,87,23.0
1773831975.8351066,88,26.0
1773831975.8497846,89,20.0
1773831975.8660507,90,23.0
1773831975.885037,91,26.0
1773831975.8945441,92,13.0
1773831975.910813,93,22.0
1773831975.9251866,94,20.0
1773831975.9498768,95,36.0
1773831975.9833498,96,50.0
1773831975.9986002,97,22.0
1773831976.0060577,98,10.0
1773831976.019186,99,19.0
1773831976.0359437,100,25.0
1773831976.0828178,101,69.0
1773831976.095545,102,17.0
1773831976.105832,103,15.0
1773831976.114575,104,11.0
1773831976.122953,105,11.0
1773831976.1320848,106,12.0
1773831976.144168,107,17.0
1773831976.1526518,108,11.0
1773831976.1603892,109,9.0
1773831976.1681478,110,10.0
1773831976.1764455,111,12.0
1773831976.1848395,112,11.0
1773831976.1930532,113,11.0
1773831976.2014062,114,11.0
1773831976.2085204,115,9.0
1773831976.2172067,116,11.0
1773831976.2247906,117,10.0
1773831976.234046,118,13.0
1773831976.243548,119,13.0
1773831976.2557197,120,17.0
1773831976.2617624,121,9.0
1773831976.2728786,122,15.0
1773831976.296532,123,34.0
1773831976.3036916,124,9.0
1773831976.3122704,125,11.0
1773831976.3186214,126,8.0
1773831976.3266685,127,11.0
1773831976.3347218,128,11.0
1773831976.3453777,129,14.0
1773831976.352813,130,10.0
1773831976.3599126,131,10.0
1773831976.368417,132,11.0
1773831976.3790755,133,14.0
1773831976.3890264,134,13.0
1773831976.396063,135,9.0
1773831976.4063087,136,14.0
1773831976.4130974,137,9.0
1773831976.4196634,138,9.0
1773831976.4373934,139,25.0
1773831976.4459715,140,10.0
1773831976.454235,141,11.0
1773831976.4609523,142,9.0
1773831976.4678605,143,9.0
