Wall time,Step,Value
1776951768.4812667,1,-500.0
1776951769.7223575,2,-463.5
1776951771.1346312,3,-475.6666564941406
1776951771.87348,4,-420.75
1776951773.4246473,5,-436.6000061035156
1776951774.1890485,6,-408.5
1776951775.3198633,7,-416.1428527832031
1776951776.1853192,8,-406.375
1776951776.8840742,9,-392.6666564941406
1776951777.4567556,10,-379.20001220703125
1776951778.4333315,11,-386.0909118652344
1776951779.6072423,12,-395.5833435058594
1776951780.7952712,13,-403.6153869628906
1776951782.3049219,14,-410.5
1776951783.53356,15,-416.4666748046875
1776951784.7677517,16,-421.6875
1776951786.5310764,17,-426.29412841796875
1776951790.106795,18,-430.3888854980469
1776951791.9470205,19,-434.0526428222656
1776951793.4173293,20,-437.3500061035156
1776951794.7616246,21,-440.3333435058594
1776951796.13016,22,-443.0454406738281
1776951797.4013727,23,-445.521728515625
1776951798.7071066,24,-447.7916564941406
1776951800.4133437,25,-449.8800048828125
1776951802.1654904,26,-451.80767822265625
1776951803.8933225,27,-453.59259033203125
1776951805.405159,28,-455.25
1776951806.8462017,29,-456.7930908203125
1776951808.4364693,30,-458.23333740234375
1776951809.7930326,31,-456.0
1776951811.1404297,32,-456.09375
1776951812.5821795,33,-457.42425537109375
1776951813.8854618,34,-458.6764831542969
1776951815.2242267,35,-459.8571472167969
1776951816.5218747,36,-460.97222900390625
1776951817.7141094,37,-462.02703857421875
1776951818.8215163,38,-463.02630615234375
1776951820.0774693,39,-463.974365234375
1776951823.6972468,40,-464.875
1776951825.0349722,41,-465.7317199707031
1776951826.844556,42,-466.547607421875
1776951828.3061926,43,-466.3488464355469
1776951829.583989,44,-467.1136474609375
1776951830.7984476,45,-467.8444519042969
1776951832.0364249,46,-468.5434875488281
1776951833.3280628,47,-469.2127685546875
1776951834.586786,48,-469.8541564941406
1776951835.9231613,49,-470.4693908691406
1776951837.1642296,50,-471.05999755859375
1776951838.4218767,51,-471.62744140625
1776951839.779109,52,-472.1730651855469
1776951841.248783,53,-472.6981201171875
1776951842.7077677,54,-473.2037048339844
1776951844.1514268,55,-473.69091796875
1776951845.277414,56,-474.16070556640625
1776951846.0339513,57,-470.368408203125
1776951847.3363128,58,-470.8793029785156
1776951847.9592564,59,-467.28814697265625
1776951849.1836908,60,-467.8333435058594
1776951850.0064757,61,-465.52459716796875
1776951850.981418,62,-464.04840087890625
1776951851.7037156,63,-461.3650817871094
1776951852.143467,64,-457.234375
1776951853.245457,65,-456.3538513183594
1776951853.8074594,66,-452.0303039550781
1776951854.3402462,67,-448.4626770019531
1776951857.9896984,68,-446.76470947265625
1776951859.5619633,69,-447.5362243652344
1776951861.4097676,70,-448.28570556640625
1776951862.814359,71,-448.46478271484375
1776951864.331099,72,-449.1805419921875
1776951865.1216295,73,-446.7945251464844
1776951866.6364732,74,-447.5135192871094
1776951867.4436867,75,-444.50665283203125
1776951868.0346513,76,-441.0394592285156
1776951868.7990797,77,-438.7662353515625
1776951869.4825447,78,-436.5384521484375
1776951870.2404957,79,-434.8860778808594
1776951870.910508,80,-432.9624938964844
1776951871.7411425,81,-432.03704833984375
1776951872.4654624,82,-430.80487060546875
1776951873.432412,83,-430.5542297363281
1776951874.0047357,84,-428.1666564941406
1776951874.571535,85,-425.76470947265625
1776951875.3953753,86,-424.79071044921875
1776951875.9318485,87,-422.3103332519531
1776951876.8171546,88,-421.4772644042969
1776951877.6601317,89,-420.38201904296875
1776951878.2052662,90,-418.022216796875
1776951879.211928,91,-418.032958984375
1776951880.0806768,92,-417.4565124511719
1776951881.5493617,93,-418.3440856933594
1776951882.5690646,94,-417.96807861328125
1776951883.5205278,95,-417.7157897949219
1776951884.5177324,96,-417.2604064941406
1776951885.6443129,97,-417.2680358886719
1776951886.8256805,98,-418.11224365234375
