Wall time,Step,Value
1777444042.57976,5,-109.73483276367188
1777444043.0442681,19,-108.16915130615234
1777444054.6282423,48,-101.43682098388672
1777444055.238533,63,-99.06124114990234
1777444055.2457452,64,-99.22987365722656
1777444055.7269645,72,-99.04476165771484
1777444056.005088,78,-100.0539321899414
1777444056.2219305,83,-100.13227081298828
1777444056.5434856,90,-101.02140045166016
1777444057.2268503,104,-101.95686340332031
1777444057.3511775,108,-102.1551284790039
1777444058.5222445,129,-103.12763214111328
1777444058.5771523,131,-103.33492279052734
1777444060.7413485,158,-108.31104278564453
1777444061.1770842,161,-109.23943328857422
1777444061.3334117,163,-109.78829193115234
1777444061.5573874,165,-109.695068359375
1777444062.668021,173,-111.16471862792969
1777444068.9138107,192,-111.0621566772461
1777444070.5186672,204,-108.34113311767578
1777444072.7436998,230,-105.16203308105469
1777444073.7640076,245,-103.5427474975586
1777444073.795799,246,-103.53956604003906
1777444075.092753,260,-102.51901245117188
1777444076.4543736,272,-101.93128967285156
1777444076.8120782,275,-101.49857330322266
1777444078.1301913,283,-101.1488037109375
1777444078.5405478,286,-100.53719329833984
1777444083.0032625,296,-101.97753143310547
1777444086.2563012,317,-102.30844116210938
1777444086.6087277,320,-102.16303253173828
1777444087.0793855,323,-101.09781646728516
1777444091.2069356,347,-99.16017150878906
1777444093.3639205,359,-97.93403625488281
1777444097.8908148,367,-95.80888366699219
1777444100.2257266,379,-92.95674133300781
1777444101.2164018,387,-92.1086196899414
1777444101.8090568,391,-91.65807342529297
1777444104.6509655,403,-90.98261260986328
1777444107.137753,416,-91.3334732055664
1777444115.3362782,437,-90.64025115966797
1777444115.6205738,438,-90.47669219970703
1777444115.8584478,440,-90.06798553466797
1777444116.790201,447,-88.96723937988281
1777444120.3092096,462,-88.50556945800781
1777444120.6319816,466,-89.19610595703125
1777444124.2110744,476,-90.65455627441406
1777444125.1798997,481,-90.49828338623047
1777444125.472365,482,-90.32359313964844
1777444126.737219,488,-91.04195404052734
1777444130.0913901,511,-87.53111267089844
1777444130.466278,513,-87.60122680664062
1777444130.550278,514,-87.63627624511719
1777444131.0438948,518,-89.04505920410156
1777444135.0685344,534,-89.12876892089844
1777444138.1416647,539,-88.85303497314453
1777444139.0182068,541,-88.48785400390625
1777444142.5438743,553,-86.60590362548828
1777444143.3704104,557,-86.642578125
1777444145.3291924,563,-85.27369689941406
1777444155.2756665,591,-79.84883880615234
1777444155.9629958,595,-80.21337127685547
1777444156.3300016,597,-80.02432250976562
1777444161.3630707,630,-79.3944091796875
1777444163.1182618,638,-79.0568618774414
1777444164.533663,644,-80.32443237304688
1777444164.9717045,645,-80.64058685302734
1777444167.4951158,659,-82.56013488769531
1777444169.0190997,668,-83.23487091064453
1777444170.679398,676,-85.16320037841797
1777444183.967698,722,-81.67374420166016
1777444184.7552712,726,-81.15646362304688
1777444187.0867062,745,-80.14266204833984
1777444194.889908,765,-78.59284210205078
1777444198.025946,776,-75.65428161621094
1777444198.2345607,777,-75.16473388671875
1777444198.909566,783,-75.83413696289062
1777444199.8603597,789,-75.16263580322266
1777444201.7090003,805,-76.78311157226562
1777444202.070489,806,-77.19248962402344
1777444205.4367201,820,-78.21614074707031
1777444208.8883245,833,-78.22968292236328
1777444213.5956182,858,-77.06059265136719
1777444214.359466,867,-78.37655639648438
1777444214.9743097,872,-79.23225402832031
1777444216.8560486,887,-82.54850006103516
1777444221.9782622,902,-81.65637969970703
1777444228.2094767,931,-79.42497253417969
1777444230.0880368,943,-79.59648132324219
1777444231.322149,950,-81.52433013916016
1777444245.5525887,1000,-73.69288635253906
1777444246.051032,1003,-74.50796508789062
1777444246.3366294,1005,-75.15953063964844
1777444250.0672474,1016,-72.9912338256836
1777444251.7152598,1023,-72.3481216430664
1777444252.4609387,1027,-73.04432678222656
1777444252.8623555,1029,-73.42823028564453
1777444254.9856458,1038,-71.68609619140625
1777444258.9837666,1057,-69.4035415649414
1777444261.9487212,1071,-68.50048828125
1777444262.3039012,1072,-68.38551330566406
1777444265.7486901,1078,-66.0905532836914
1777444268.334832,1087,-64.58169555664062
1777444273.0020366,1099,-63.28806686401367
1777444273.6724935,1103,-61.53582763671875
1777444273.7917404,1105,-60.87406921386719
1777444275.3883398,1110,-61.25982666015625
1777444275.7514868,1112,-60.80453872680664
1777444280.067984,1126,-60.674991607666016
1777444281.825746,1133,-62.1784782409668
1777444284.969741,1147,-60.804100036621094
1777444286.5571475,1152,-59.90951156616211
1777444286.6824741,1153,-59.23366928100586
1777444288.8180573,1165,-60.549560546875
1777444290.2021291,1175,-61.602413177490234
1777444290.941278,1177,-62.7883186340332
1777444292.9261422,1185,-62.695068359375
1777444295.6532757,1194,-63.56510543823242
1777444295.6826947,1195,-63.516029357910156
1777444301.4486732,1219,-66.18621826171875
1777444303.4114203,1226,-66.07027435302734
1777444306.2840924,1247,-66.49618530273438
1777444307.531851,1252,-68.29158782958984
1777444307.6471438,1253,-69.16917419433594
1777444308.3141158,1255,-68.60425567626953
1777444308.808896,1258,-68.38700866699219
