Wall time,Step,Value
1776951219.0385826,1,23.0
1776951219.1423988,2,28.0
1776951219.2026827,3,17.0
1776951219.3392413,4,37.0
1776951219.4063902,5,16.0
1776951219.533572,6,28.0
1776951219.5971148,7,11.0
1776951219.6695495,8,14.0
1776951219.782614,9,23.0
1776951219.8724866,10,22.0
1776951219.9454067,11,19.0
1776951219.9978273,12,11.0
1776951220.0574481,13,12.0
1776951220.1411166,14,22.0
1776951220.2042606,15,18.0
1776951220.2710896,16,19.0
1776951220.3333764,17,16.0
1776951220.5481954,18,68.0
1776951220.6309981,19,27.0
1776951220.723214,20,22.0
1776951220.8137202,21,26.0
1776951221.0723085,22,82.0
1776951221.1432655,23,15.0
1776951221.2011826,24,15.0
1776951221.2780182,25,18.0
1776951221.358175,26,17.0
1776951221.4281604,27,15.0
1776951221.49017,28,13.0
1776951221.576646,29,18.0
1776951221.64918,30,19.0
1776951221.7100718,31,13.0
1776951221.7667506,32,12.0
1776951221.8230805,33,12.0
1776951221.874423,34,15.0
1776951221.929974,35,11.0
1776951221.988532,36,11.0
1776951222.0722783,37,24.0
1776951222.1500597,38,21.0
1776951222.1997395,39,13.0
1776951222.2719498,40,24.0
1776951222.344767,41,24.0
1776951222.4468987,42,29.0
1776951222.5674534,43,39.0
1776951222.7346492,44,52.0
1776951222.8028803,45,18.0
1776951222.8779109,46,21.0
1776951222.9696686,47,24.0
1776951223.042242,48,20.0
1776951223.1113682,49,17.0
1776951223.2264528,50,31.0
1776951223.2999363,51,20.0
1776951223.37292,52,18.0
1776951223.450905,53,23.0
1776951223.5289707,54,21.0
1776951223.5811696,55,15.0
1776951223.677136,56,28.0
1776951223.7992592,57,40.0
1776951224.0911164,58,86.0
1776951224.199983,59,24.0
1776951224.2986443,60,24.0
1776951224.3637645,61,19.0
1776951224.5051785,62,45.0
1776951224.569536,63,17.0
1776951224.7032015,64,39.0
1776951224.8278146,65,33.0
1776951224.9043326,66,21.0
1776951225.1665275,67,84.0
1776951225.28049,68,36.0
1776951225.3662245,69,21.0
1776951225.6541598,70,86.0
1776951225.7115374,71,16.0
1776951225.8424275,72,40.0
1776951225.935067,73,26.0
1776951226.0000625,74,16.0
1776951226.0647619,75,16.0
