Wall time,Step,Value
1777449394.5405962,19,6.0
1777449394.8223271,48,9.0
1777449394.9777174,63,7.0
1777449394.9864478,64,3.0
1777449395.2282908,90,7.0
1777449395.370003,104,8.0
1777449395.410638,108,8.0
1777449395.6066337,129,12.0
1777449395.945576,165,6.0
1777449396.0048888,173,8.0
1777449396.19616,192,19.0
1777449396.3024669,204,11.0
1777449396.6899478,245,6.0
1777449396.817915,260,11.0
1777449397.0757797,283,10.0
1777449397.1074624,286,17.0
1777449397.4231646,320,4.0
1777449397.861075,367,7.0
1777449398.021543,387,6.0
1777449398.1798074,403,7.0
1777449398.3077672,416,7.0
1777449398.516886,438,7.0
1777449398.793492,466,5.0
1777449398.8824317,476,12.0
1777449398.9299982,482,3.0
1777449399.181466,511,4.0
1777449399.3850782,534,5.0
1777449399.4285314,539,7.0
1777449399.441101,541,5.0
1777449399.5961442,557,7.0
1777449399.6437669,563,14.0
1777449399.9395938,597,17.0
1777449400.307113,638,13.0
1777449400.3650868,644,15.0
1777449400.3746798,645,6.0
1777449400.4894984,659,6.0
1777449400.6418834,676,11.0
1777449401.0548842,722,5.0
1777449401.4434793,765,11.0
1777449401.5353189,776,5.0
1777449401.8006685,805,5.0
1777449402.277539,858,7.0
1777449402.349257,867,8.0
1777449402.543219,887,11.0
1777449403.0286405,943,6.0
1777449403.5435765,1000,7.0
1777449403.6775699,1016,6.0
1777449403.7869308,1027,13.0
1777449403.9013796,1038,8.0
1777449404.0677311,1057,5.0
1777449404.2360036,1072,6.0
1777449404.630063,1110,10.0
1777449404.6475177,1112,8.0
1777449404.7902787,1126,7.0
1777449404.8548286,1133,8.0
1777449405.0488114,1153,5.0
1777449405.1828713,1165,11.0
1777449405.2778761,1175,12.0
1777449405.2937398,1177,17.0
1777449405.3700783,1185,11.0
1777449405.7020779,1219,12.0
1777449406.0083907,1253,7.0
1777449406.0240183,1255,13.0
1777449406.0420954,1258,16.0
1777449406.132263,1268,16.0
1777449406.1637864,1272,7.0
1777449406.6223066,1326,14.0
1777449406.8000507,1346,11.0
1777449407.0457091,1377,6.0
1777449407.446081,1418,4.0
1777449407.8145466,1458,9.0
1777449407.8239596,1459,3.0
1777449408.1105137,1495,7.0
1777449408.250393,1511,15.0
1777449408.276056,1514,8.0
1777449408.605161,1549,4.0
1777449408.6323533,1552,13.0
1777449408.7436836,1566,9.0
1777449408.9055932,1586,10.0
1777449409.0339596,1597,8.0
1777449409.3326595,1628,5.0
1777449409.3949883,1636,20.0
1777449409.7565727,1671,6.0
1777449409.9286911,1686,12.0
1777449410.125626,1703,16.0
1777449410.1418793,1705,7.0
1777449410.2039123,1712,20.0
1777449410.8295565,1778,4.0
1777449411.4602714,1848,10.0
1777449411.589126,1861,15.0
1777449411.6526682,1868,5.0
1777449411.9236999,1900,9.0
1777449411.9433584,1903,23.0
1777449412.0016782,1910,36.0
1777449412.2712805,1941,15.0
1777449412.4734583,1961,13.0
1777449412.4811969,1962,15.0
1777449412.663204,1980,7.0
1777449413.495236,2071,8.0
1777449413.5797775,2080,12.0
1777449413.659918,2090,15.0
1777449413.751317,2101,6.0
1777449414.7556658,2210,19.0
1777449415.0214782,2240,4.0
1777449415.7546716,2320,5.0
1777449416.1438317,2360,10.0
1777449416.5266476,2395,4.0
1777449416.9497738,2437,4.0
1777449417.0153682,2442,13.0
1777449417.1389508,2455,28.0
1777449417.2006705,2463,27.0
1777449417.2331676,2466,5.0
1777449417.4244685,2486,4.0
1777449417.601364,2504,6.0
1777449417.7279928,2518,5.0
1777449417.870598,2531,7.0
1777449418.3113797,2578,22.0
1777449418.3188438,2579,6.0
1777449418.505289,2600,7.0
1777449418.8010817,2628,7.0
1777449418.872847,2636,4.0
1777449418.9514148,2644,13.0
1777449419.3345542,2685,13.0
1777449419.4138947,2694,11.0
1777449419.5538616,2709,5.0
1777449419.6218755,2718,25.0
1777449419.7983863,2735,17.0
1777449419.8478408,2741,11.0
1777449419.955884,2754,9.0
1777449419.9627938,2755,8.0
1777449419.9745407,2756,9.0
1777449420.1129985,2769,7.0
1777449420.2683635,2786,5.0
1777449420.5334766,2813,27.0
1777449420.7627702,2835,18.0
1777449420.859949,2845,6.0
1777449421.0139499,2862,16.0
1777449421.5886562,2922,6.0
1777449421.8748984,2953,5.0
1777449421.9584045,2963,35.0
1777449422.071923,2974,7.0
1777449422.6318026,3035,16.0
1777449423.1122534,3084,10.0
1777449423.1212096,3085,6.0
1777449423.3098538,3105,25.0
1777449423.3203304,3106,8.0
