Wall time,Step,Value
1777455298.6563733,1,-104.21878814697266
1777455298.8121536,3,-418.5586853027344
1777455298.8391888,4,-399.2702941894531
1777455298.8588057,5,-375.12054443359375
1777455299.301163,11,-244.569091796875
1777455299.3309302,12,-233.80918884277344
1777455299.478994,15,-208.1368865966797
1777455299.529075,16,-200.6914520263672
1777455299.6702335,19,-181.19647216796875
1777455299.6863637,20,-185.8544464111328
1777455299.755855,21,-193.45701599121094
1777455299.915444,23,-194.58326721191406
1777455299.9183214,24,-189.80894470214844
1777455300.0482364,27,-199.4114227294922
1777455300.0851264,28,-204.0988311767578
1777455300.1324048,30,-195.58946228027344
1777455300.2500646,34,-185.9211883544922
1777455300.3063805,35,-188.36228942871094
1777455300.5600524,37,-191.02772521972656
1777455300.573052,38,-198.63343811035156
1777455300.5885866,39,-202.23602294921875
1777455300.6005878,40,-207.3549346923828
1777455300.6495452,41,-204.52279663085938
1777455301.0456538,48,-199.13595581054688
1777455301.1418774,49,-196.02194213867188
1777455301.1894739,50,-194.8962860107422
1777455301.202479,51,-193.6702117919922
1777455301.3504286,52,-191.51528930664062
1777455301.3906107,53,-195.2809600830078
1777455301.4627721,55,-200.30442810058594
1777455301.5665765,56,-200.56646728515625
1777455301.684195,58,-199.208984375
1777455301.8012958,61,-199.77462768554688
1777455301.9168642,62,-198.0121307373047
1777455301.9767513,63,-197.31272888183594
1777455301.9975133,64,-203.0591583251953
1777455302.0793152,66,-205.5866241455078
1777455302.158934,67,-203.20848083496094
1777455302.2022808,68,-205.01239013671875
1777455302.2379084,69,-205.6802978515625
1777455302.4428675,71,-211.07269287109375
1777455302.49283,72,-213.0399627685547
1777455302.5384974,74,-212.6766815185547
1777455302.693668,76,-209.4915771484375
1777455302.7275028,78,-211.3737030029297
1777455302.889384,80,-213.8013916015625
1777455302.9411674,81,-212.2449951171875
1777455302.9853613,83,-210.7550506591797
1777455303.072304,84,-209.3686981201172
1777455303.252453,86,-209.95016479492188
1777455303.277412,87,-212.0017547607422
1777455303.4188104,90,-210.09954833984375
1777455303.4485502,91,-211.0089111328125
1777455303.7586515,96,-209.10867309570312
1777455303.9190214,100,-204.6688690185547
1777455303.935103,101,-204.55792236328125
1777455304.0984697,104,-194.49734497070312
1777455304.177758,107,-193.86044311523438
1777455304.1857455,108,-192.6671142578125
1777455304.2708666,110,-192.6779327392578
1777455304.3120291,111,-192.51815795898438
1777455304.543925,115,-195.43017578125
1777455304.6001265,117,-197.01153564453125
1777455304.916038,122,-195.65463256835938
1777455305.15649,126,-195.5260009765625
1777455305.21606,127,-192.74436950683594
1777455305.3005686,129,-192.29360961914062
1777455305.3110056,130,-195.06484985351562
1777455305.32077,131,-197.32894897460938
1777455305.375088,132,-197.2386474609375
1777455305.400849,133,-196.87777709960938
1777455305.428733,135,-194.36465454101562
1777455305.5252323,137,-193.2132110595703
1777455305.5736496,138,-189.55218505859375
1777455305.8192499,144,-188.5595703125
1777455305.8929584,145,-187.8219451904297
1777455305.9282126,147,-189.33914184570312
1777455305.9389353,148,-188.47837829589844
1777455306.179394,151,-190.9964599609375
1777455306.5053353,158,-185.1952667236328
1777455306.5944362,160,-184.25228881835938
1777455306.6011677,161,-183.50059509277344
1777455306.6534028,163,-183.4403533935547
1777455306.837266,164,-179.6885223388672
1777455306.8544269,165,-177.44554138183594
1777455306.873545,167,-178.322509765625
1777455307.0362043,171,-170.35153198242188
1777455307.126626,172,-167.65985107421875
1777455307.158299,173,-165.85833740234375
1777455307.287741,176,-167.43954467773438
1777455307.3003142,177,-165.70240783691406
1777455307.3184166,178,-165.92819213867188
1777455307.3537972,179,-162.8991241455078
1777455307.5170906,181,-161.92616271972656
1777455307.6016383,182,-161.53759765625
1777455307.6556091,184,-161.42349243164062
1777455307.750988,185,-162.59478759765625
1777455307.7864633,186,-160.99160766601562
1777455307.805446,187,-158.55038452148438
1777455308.0499604,190,-160.1325225830078
1777455308.0864794,191,-158.52880859375
1777455308.0919657,192,-160.56649780273438
1777455308.18585,193,-160.93740844726562
1777455308.3983698,196,-161.60670471191406
1777455308.4834833,199,-163.34490966796875
1777455308.5053155,200,-164.6211395263672
1777455308.5191395,201,-164.8394775390625
1777455308.6004868,203,-165.1120147705078
1777455308.6075492,204,-164.35440063476562
1777455308.6261642,205,-163.6529083251953
1777455308.7893696,206,-161.94586181640625
1777455308.8314042,208,-162.48878479003906
1777455308.9243279,210,-162.0330810546875
1777455309.0098288,212,-162.32557678222656
1777455309.0989134,214,-159.60824584960938
1777455309.193821,216,-161.41693115234375
1777455309.2207992,217,-159.97914123535156
1777455309.2989094,219,-158.88552856445312
1777455309.3222008,220,-158.8809814453125
1777455309.5008068,221,-159.33853149414062
1777455309.5069711,222,-159.71505737304688
1777455309.56968,223,-159.2920684814453
1777455309.6799536,225,-158.5662078857422
1777455309.7611814,226,-158.3666534423828
1777455310.1287305,230,-156.568359375
