Wall time,Step,Value
1777413523.6717923,19,-1340.8389892578125
1777413524.4215193,48,-1343.338134765625
1777413524.5153725,63,-1326.2513427734375
1777413524.5222867,64,-1324.0133056640625
1777413525.207227,72,-1289.9476318359375
1777413525.314617,90,-1264.0281982421875
1777413526.0486515,104,-1249.4356689453125
1777413526.075964,108,-1246.2020263671875
1777413526.8642585,129,-1229.4091796875
1777413527.8821352,161,-1194.3919677734375
1777413527.9122012,165,-1204.6868896484375
1777413527.9612596,173,-1211.19580078125
1777413528.0945983,192,-1235.08251953125
1777413528.8957133,204,-1246.4962158203125
1777413529.750255,230,-1285.2930908203125
1777413529.8395498,245,-1324.7984619140625
1777413530.674777,260,-1354.225830078125
1777413530.828688,283,-1341.85107421875
1777413530.8468447,286,-1338.2540283203125
1777413531.7269201,317,-1309.0819091796875
1777413531.7444491,320,-1306.5338134765625
1777413532.5535984,347,-1258.2984619140625
1777413533.2163749,359,-1210.3228759765625
1777413533.2742932,367,-1219.3116455078125
1777413534.1699743,387,-1224.1102294921875
1777413534.2705069,403,-1220.8704833984375
1777413534.3829012,416,-1223.386474609375
1777413535.201946,437,-1226.833740234375
1777413535.2077317,438,-1226.6375732421875
1777413535.2686625,447,-1233.9029541015625
1777413536.079583,462,-1251.548828125
1777413536.1037297,466,-1248.698974609375
1777413536.1613512,476,-1254.9696044921875
1777413536.8691158,482,-1268.45703125
1777413537.0578852,511,-1325.31640625
1777413537.9328432,534,-1374.5760498046875
1777413537.961596,539,-1372.0103759765625
1777413537.9733832,541,-1368.6641845703125
1777413538.3049886,557,-1391.5638427734375
1777413538.3408523,563,-1397.6429443359375
1777413539.2034192,595,-1400.604248046875
1777413539.214426,597,-1392.1380615234375
1777413540.131667,638,-1324.080322265625
1777413540.768444,644,-1324.087158203125
1777413540.774239,645,-1318.918701171875
1777413540.8549325,659,-1297.415283203125
1777413540.9148283,668,-1273.8502197265625
1777413541.5145602,676,-1252.2435302734375
1777413542.4175057,722,-1214.8829345703125
1777413543.3120134,765,-1224.958251953125
1777413543.8974257,776,-1207.891845703125
1777413543.9407926,783,-1210.981689453125
1777413543.975901,789,-1220.4306640625
1777413544.6561296,805,-1207.1629638671875
1777413545.6928086,858,-1143.379150390625
1777413546.333236,867,-1143.4974365234375
1777413546.4686189,887,-1146.4794921875
1777413548.0694761,943,-1167.6163330078125
1777413549.626252,1000,-1137.59912109375
1777413549.6606069,1005,-1139.654052734375
1777413549.73213,1016,-1141.6463623046875
1777413549.7798724,1023,-1137.3359375
1777413550.4412863,1027,-1141.6278076171875
1777413550.5148344,1038,-1125.4091796875
1777413551.342957,1057,-1132.8511962890625
1777413551.457143,1072,-1141.2115478515625
1777413551.4929657,1078,-1142.5474853515625
1777413552.231831,1099,-1138.0009765625
1777413552.297398,1110,-1144.418701171875
1777413552.309811,1112,-1145.8006591796875
1777413552.9787269,1126,-1163.979736328125
1777413553.0261803,1133,-1156.771240234375
1777413553.1389086,1152,-1161.5706787109375
1777413553.7069209,1153,-1160.0787353515625
1777413553.777402,1165,-1163.537109375
1777413553.8353608,1175,-1145.67041015625
1777413553.846756,1177,-1148.060791015625
1777413554.5254965,1185,-1150.807373046875
1777413555.287771,1219,-1146.36376953125
1777413555.3325272,1226,-1152.60498046875
1777413556.0519125,1253,-1164.194091796875
1777413556.0636945,1255,-1156.30419921875
1777413556.0813096,1258,-1165.644287109375
1777413556.104361,1262,-1161.601806640625
1777413556.1381903,1268,-1174.223876953125
1777413556.1604834,1272,-1178.5462646484375
1777413556.8781264,1299,-1149.221923828125
1777413557.606135,1326,-1129.71826171875
1777413558.3447893,1346,-1124.58740234375
1777413558.5299027,1376,-1132.0257568359375
1777413559.1443086,1377,-1136.9656982421875
1777413560.0739233,1418,-1096.681396484375
1777413560.2050161,1440,-1137.9610595703125
1777413561.0740328,1458,-1129.623779296875
1777413561.0830624,1459,-1126.0577392578125
1777413561.8591542,1495,-1121.89697265625
1777413561.9048405,1503,-1133.136474609375
1777413562.6159883,1511,-1127.1195068359375
1777413562.633923,1514,-1126.2847900390625
1777413563.583925,1549,-1101.6756591796875
1777413563.600769,1552,-1094.0797119140625
1777413563.6841037,1566,-1086.67138671875
1777413564.2609887,1569,-1090.78857421875
1777413564.2910078,1574,-1096.6947021484375
1777413564.36179,1586,-1103.593505859375
1777413564.434673,1597,-1110.3690185546875
1777413565.163111,1628,-1140.0145263671875
1777413565.8263524,1636,-1150.73388671875
1777413566.6141486,1671,-1216.2537841796875
1777413566.706864,1686,-1237.0469970703125
1777413567.39934,1703,-1267.5496826171875
1777413567.4111464,1705,-1272.9962158203125
1777413567.4287872,1708,-1275.94921875
1777413567.4518747,1712,-1280.591552734375
1777413568.9654245,1776,-1353.6820068359375
1777413568.977174,1778,-1353.8331298828125
1777413569.0486088,1790,-1365.2869873046875
1777413570.1968212,1848,-1388.577392578125
1777413570.936214,1861,-1395.918701171875
1777413570.9771397,1868,-1388.4166259765625
1777413571.7803423,1900,-1336.181396484375
1777413571.8053117,1903,-1328.3323974609375
1777413571.841236,1909,-1306.696533203125
1777413571.8476474,1910,-1309.3828125
1777413572.631002,1937,-1237.529052734375
1777413572.6544328,1941,-1230.60595703125
1777413572.6830215,1946,-1208.2872314453125
1777413573.4052007,1961,-1184.7056884765625
1777413573.4144585,1962,-1179.4881591796875
1777413573.5787952,1980,-1176.834716796875
1777413576.2620687,2071,-1171.4603271484375
1777413576.315879,2080,-1159.45263671875
1777413577.2287881,2090,-1152.709228515625
1777413577.3160667,2101,-1141.13720703125
1777413578.2859795,2120,-1118.5531005859375
1777413580.3092303,2195,-1149.06201171875
1777413581.0107398,2210,-1152.46044921875
1777413581.0485525,2216,-1151.1727294921875
1777413581.1875343,2240,-1133.7672119140625
1777413581.8275647,2245,-1132.4920654296875
1777413584.1040354,2320,-1102.2476806640625
1777413585.0701704,2360,-1084.2650146484375
1777413586.0946934,2395,-1088.1458740234375
1777413587.6468759,2437,-1107.233642578125
1777413587.682557,2442,-1120.1090087890625
1777413587.7731428,2455,-1146.93017578125
1777413587.8293703,2463,-1171.143798828125
1777413588.476567,2466,-1179.245361328125
1777413588.6162837,2486,-1214.84814453125
1777413589.3580332,2504,-1247.163330078125
1777413589.453681,2518,-1265.725341796875
1777413589.4673295,2520,-1265.55224609375
1777413590.101949,2531,-1282.686279296875
1777413591.076988,2578,-1317.9716796875
1777413591.0841336,2579,-1320.7855224609375
1777413591.8790593,2600,-1309.39892578125
1777413592.6657112,2628,-1301.0543212890625
1777413592.7375565,2636,-1279.5234375
1777413592.808429,2644,-1266.1265869140625
1777413593.8085732,2675,-1209.9365234375
1777413593.866412,2682,-1205.059814453125
1777413593.8880606,2685,-1196.057861328125
1777413594.6653464,2694,-1171.3990478515625
1777413594.792136,2709,-1146.5318603515625
1777413594.8684454,2718,-1135.38037109375
1777413595.7885075,2735,-1129.3294677734375
1777413595.8344822,2740,-1138.6102294921875
1777413595.8435752,2741,-1131.6219482421875
1777413596.5881262,2754,-1129.1490478515625
1777413596.5957105,2755,-1130.3419189453125
1777413596.6032302,2756,-1131.8533935546875
1777413596.6699324,2766,-1120.4962158203125
1777413596.690908,2769,-1116.5899658203125
1777413597.4630942,2786,-1120.49658203125
1777413597.6480482,2813,-1163.4969482421875
1777413598.4990742,2835,-1200.2371826171875
1777413598.56873,2845,-1204.9166259765625
1777413599.304717,2862,-1229.5692138671875
1777413599.311589,2863,-1232.797607421875
1777413600.8680134,2922,-1239.5087890625
1777413601.6271744,2953,-1186.5341796875
1777413601.6466408,2956,-1184.739013671875
1777413601.69183,2963,-1177.9053955078125
1777413601.2248507,2966,-1181.765869140625
1777413601.2800179,2974,-1173.5830078125
1777413602.760847,3020,-1141.8577880859375
1777413602.848358,3035,-1166.0203857421875
1777413603.5199292,3048,-1196.7684326171875
1777413604.3589683,3084,-1234.2822265625
1777413604.3663132,3085,-1232.8433837890625
1777413604.494058,3104,-1244.2933349609375
1777413605.0965245,3105,-1247.1737060546875
1777413605.102882,3106,-1249.9888916015625
1777413605.1976373,3120,-1247.4805908203125
1777413605.2043858,3121,-1242.0693359375
1777413605.2114782,3122,-1241.2076416015625
1777413605.2589555,3129,-1227.6607666015625
1777413605.9688897,3146,-1205.64794921875
1777413606.8019614,3174,-1166.5792236328125
1777413606.9298506,3193,-1175.731689453125
1777413606.9779751,3200,-1180.9991455078125
1777413607.6209152,3205,-1176.375244140625
1777413607.7111013,3218,-1169.20458984375
1777413607.731624,3221,-1168.2645263671875
1777413608.4597995,3242,-1171.7669677734375
1777413609.2131052,3266,-1178.692626953125
1777413609.240399,3269,-1172.6934814453125
1777413610.1505287,3307,-1199.593505859375
1777413611.2813208,3341,-1268.2437744140625
1777413611.4236884,3357,-1297.517333984375
1777413612.284706,3375,-1331.8922119140625
1777413612.3617938,3386,-1354.1943359375
1777413613.0738013,3405,-1348.8709716796875
1777413613.166541,3419,-1347.8714599609375
1777413614.5920522,3462,-1241.0643310546875
1777413614.7171588,3484,-1180.214599609375
1777413614.7227108,3485,-1174.5335693359375
1777413615.4363306,3492,-1152.7640380859375
1777413615.4495692,3494,-1156.0645751953125
1777413615.4998624,3501,-1147.3919677734375
1777413616.276575,3527,-1090.1895751953125
1777413617.2947598,3567,-1105.08740234375
1777413617.3133519,3570,-1099.2977294921875
1777413617.3530035,3577,-1094.828125
1777413618.0652456,3589,-1090.63818359375
1777413618.1491933,3601,-1064.596435546875
1777413618.226717,3614,-1080.4539794921875
1777413618.2329144,3615,-1081.27880859375
1777413618.8654492,3617,-1079.4808349609375
1777413619.7041736,3655,-1119.8388671875
1777413619.7249818,3658,-1122.593017578125
1777413619.7414136,3660,-1121.408447265625
1777413619.7596447,3662,-1122.134521484375
1777413619.7838266,3665,-1120.6378173828125
1777413619.8208706,3669,-1128.125
1777413619.8451316,3672,-1130.51611328125
1777413620.7542036,3691,-1131.845703125
1777413621.5621955,3713,-1124.3009033203125
1777413621.5922406,3718,-1120.9539794921875
1777413622.436481,3755,-1092.795654296875
1777413622.4770708,3762,-1094.0447998046875
1777413622.4882898,3764,-1098.7950439453125
1777413623.187603,3783,-1102.7462158203125
1777413624.8218699,3849,-1182.94970703125
1777413624.8351552,3851,-1181.73583984375
1777413624.9517567,3870,-1193.7933349609375
1777413625.7642817,3903,-1220.750244140625
1777413626.4341178,3912,-1219.95166015625
1777413626.4666314,3916,-1224.4471435546875
1777413626.519621,3922,-1222.821533203125
1777413626.6189125,3934,-1223.80810546875
1777413627.499693,3937,-1226.1336669921875
1777413627.7568276,3967,-1218.9246826171875
1777413628.6938488,3976,-1224.16357421875
1777413628.7443044,3982,-1234.309814453125
1777413629.808752,4013,-1249.85302734375
1777413629.8262763,4015,-1254.5103759765625
1777413629.9036248,4024,-1258.2916259765625
1777413630.8581486,4035,-1256.6019287109375
1777413630.9076798,4041,-1269.72998046875
1777413630.9696686,4048,-1274.196533203125
1777413631.9689739,4085,-1296.9716796875
1777413632.8804247,4110,-1357.7724609375
1777413632.9210901,4116,-1365.741455078125
1777413632.9621553,4122,-1375.7396240234375
1777413632.9822524,4125,-1382.5526123046875
1777413633.3513467,4147,-1412.8680419921875
1777413634.309536,4182,-1427.7547607421875
1777413635.0067394,4193,-1417.843994140625
1777413635.8825462,4228,-1352.4056396484375
1777413636.0344195,4250,-1322.9891357421875
1777413636.7889347,4258,-1319.8416748046875
1777413637.9995036,4319,-1287.029052734375
1777413638.802694,4329,-1287.53759765625
1777413638.8556292,4335,-1298.5936279296875
1777413640.5894282,4396,-1378.1971435546875
1777413641.5888915,4444,-1406.3056640625
1777413642.2761285,4455,-1409.7022705078125
1777413642.356808,4467,-1435.9263916015625
1777413644.0614007,4526,-1467.7059326171875
1777413644.1280324,4536,-1477.8275146484375
1777413644.1519673,4540,-1474.288818359375
1777413644.9807212,4565,-1447.163818359375
1777413645.0078895,4569,-1447.3919677734375
1777413645.0493658,4575,-1425.4105224609375
1777413646.564319,4610,-1381.768310546875
1777413646.5864356,4613,-1371.6846923828125
1777413647.6690726,4650,-1318.69775390625
1777413647.734539,4660,-1318.4820556640625
1777413648.6527102,4687,-1309.3197021484375
1777413648.677144,4691,-1298.3232421875
1777413648.6881623,4693,-1297.63671875
1777413648.724273,4699,-1281.107666015625
1777413649.5286918,4708,-1279.340087890625
1777413649.6712115,4731,-1242.3087158203125
1777413650.3268228,4738,-1233.20556640625
1777413650.4586914,4760,-1230.8834228515625
1777413651.1942387,4773,-1218.419189453125
1777413651.2165222,4777,-1224.1563720703125
1777413651.2221477,4778,-1226.5855712890625
1777413652.0230486,4808,-1240.4346923828125
1777413652.1577435,4831,-1257.949462890625
1777413652.8204172,4833,-1262.934814453125
1777413652.8420606,4836,-1270.576904296875
1777413652.8487606,4837,-1277.8304443359375
1777413652.895979,4845,-1286.8358154296875
1777413653.7274325,4883,-1337.1129150390625
1777413653.80518,4896,-1339.0328369140625
1777413654.5484695,4911,-1344.3067626953125
1777413655.297294,4930,-1347.333740234375
1777413655.361637,4941,-1328.7008056640625
1777413655.4138682,4950,-1320.662841796875
1777413656.214698,4981,-1245.9853515625
1777413656.2977972,4992,-1233.3843994140625
1777413657.2950485,5024,-1156.1417236328125
1777413658.1064346,5048,-1143.8975830078125
1777413658.821579,5067,-1129.85595703125
1777413658.8964458,5080,-1104.81591796875
1777413658.902207,5081,-1104.312255859375
1777413659.557243,5089,-1102.0869140625
1777413659.570376,5091,-1104.892822265625
1777413660.4944327,5133,-1055.46923828125
1777413660.5262887,5137,-1049.5684814453125
1777413660.56191,5141,-1047.0625
1777413660.6554658,5152,-1042.956298828125
1777413661.4548953,5155,-1032.1689453125
1777413661.461903,5156,-1031.3790283203125
1777413662.362257,5188,-989.7935180664062
1777413662.4288213,5199,-982.8909301757812
1777413662.4468853,5201,-983.6994018554688
1777413662.4834573,5206,-972.31298828125
1777413663.1997824,5219,-970.9072265625
1777413663.2386208,5226,-978.1285400390625
1777413663.3211365,5239,-973.4781494140625
1777413664.082682,5254,-952.4227294921875
1777413664.134112,5263,-963.8930053710938
1777413664.1505954,5266,-965.6229858398438
1777413665.0344925,5296,-984.0782470703125
1777413665.3647537,5320,-981.776611328125
1777413665.3822129,5323,-972.4569702148438
1777413665.3942344,5325,-969.9901123046875
1777413665.4172184,5329,-956.3727416992188
1777413665.4514685,5335,-951.0255126953125
1777413666.2945585,5363,-941.9466552734375
1777413666.3439035,5371,-936.3413696289062
1777413667.0621994,5394,-922.6525268554688
1777413667.121408,5404,-921.7777709960938
1777413668.8586273,5446,-970.818359375
1777413668.920964,5455,-982.7537231445312
1777413668.9534461,5460,-980.4766845703125
1777413670.690079,5505,-1015.3358764648438
1777413670.7352016,5510,-1030.9473876953125
1777413670.8173873,5522,-1040.8797607421875
1777413671.7209675,5568,-1087.87646484375
1777413673.3384933,5605,-1152.547119140625
1777413675.1724353,5668,-1231.49853515625
1777413676.9455836,5731,-1266.4234619140625
1777413677.1132169,5759,-1179.2989501953125
1777413678.0576656,5782,-1087.4093017578125
1777413679.557797,5833,-928.7022705078125
1777413680.3533728,5867,-945.95166015625
1777413680.4278922,5880,-975.5597534179688
1777413680.4458983,5883,-976.359619140625
1777413682.012426,5949,-1048.883544921875
1777413682.6687558,5957,-1055.6602783203125
1777413682.7144103,5965,-1076.9459228515625
1777413682.814294,5982,-1070.6610107421875
1777413683.4036129,5991,-1078.870361328125
1777413683.4426398,5998,-1073.440673828125
1777413683.477275,6004,-1074.959716796875
1777413683.516653,6010,-1068.9508056640625
1777413684.320553,6046,-1058.1126708984375
1777413684.9638147,6054,-1053.7432861328125
1777413685.1156008,6079,-1008.8175659179688
1777413685.1215405,6080,-1003.4259643554688
1777413685.878228,6112,-949.35693359375
1777413686.4740803,6114,-947.2045288085938
1777413686.597836,6134,-918.3131713867188
1777413686.6306143,6139,-904.1271362304688
1777413686.6427538,6141,-904.1019897460938
1777413686.6539965,6143,-901.2592163085938
1777413687.391024,6169,-861.87353515625
1777413688.8891802,6226,-857.8605346679688
1777413689.5315678,6244,-859.0431518554688
1777413690.3522937,6280,-861.1259765625
1777413690.3639815,6282,-862.9296875
1777413690.479592,6301,-841.40234375
1777413691.2584696,6333,-818.052490234375
1777413691.2708426,6335,-818.7984619140625
1777413691.9893756,6359,-806.536865234375
1777413691.9961104,6360,-810.9196166992188
1777413692.0258656,6365,-811.2890014648438
1777413692.651139,6370,-815.6318969726562
1777413693.4375844,6407,-815.4905395507812
1777413693.5425832,6425,-793.7938232421875
1777413694.2318776,6444,-798.6709594726562
1777413694.3247454,6460,-806.8014526367188
1777413695.0376666,6474,-808.08837890625
1777413695.1586795,6492,-837.3995971679688
1777413695.1784782,6495,-838.0301513671875
1777413696.659349,6529,-895.4476318359375
1777413696.679697,6532,-889.1746215820312
1777413696.7742255,6547,-921.3961181640625
1777413696.8186567,6552,-917.8062133789062
1777413697.1107922,6565,-922.73779296875
1777413697.1437325,6570,-915.4637451171875
1777413697.2462666,6586,-878.890869140625
1777413697.277006,6591,-885.1160888671875
1777413697.861666,6596,-871.5274047851562
1777413697.8863554,6600,-876.97802734375
1777413697.9948006,6616,-866.764892578125
1777413698.8477829,6650,-823.1611938476562
1777413699.6408105,6674,-831.060546875
1777413701.3738897,6721,-746.7886962890625
1777413701.4604638,6731,-722.8856811523438
1777413701.4961803,6735,-712.5748901367188
1777413701.6389143,6751,-678.8287963867188
1777413702.4096668,6762,-653.0520629882812
1777413703.3032005,6786,-628.4029541015625
1777413703.4551098,6803,-617.4406127929688
1777413704.2865667,6822,-610.3779907226562
1777413704.4090073,6843,-592.0850830078125
1777413705.0019896,6851,-598.2066650390625
1777413705.0586147,6860,-625.3175048828125
1777413705.159932,6876,-617.0638427734375
1777413706.5819893,6917,-603.0840454101562
1777413706.5986502,6920,-608.454833984375
1777413706.6612577,6931,-616.7965698242188
1777413706.7002463,6938,-636.5108032226562
1777413707.6114795,6976,-599.6563720703125
1777413708.2531023,6992,-605.5748291015625
1777413708.2860491,6997,-610.813720703125
1777413708.2971892,6999,-606.6190795898438
1777413708.9417593,7019,-599.893310546875
1777413709.0064514,7030,-586.9176635742188
1777413709.7144897,7045,-585.2349243164062
1777413709.7772694,7055,-596.6917114257812
1777413711.4745982,7118,-503.8406677246094
1777413711.492624,7121,-504.57586669921875
1777413711.5266614,7127,-513.173095703125
1777413712.435296,7165,-533.8922119140625
1777413713.2592025,7178,-566.81982421875
1777413713.2685127,7179,-562.5060424804688
1777413713.285426,7181,-565.0318603515625
1777413714.3232176,7208,-581.3809204101562
1777413714.4726226,7226,-548.8892822265625
1777413715.4257433,7254,-547.536865234375
1777413716.406829,7275,-552.1699829101562
1777413717.4277284,7309,-587.522216796875
1777413718.4719048,7335,-648.5651245117188
1777413718.5070112,7339,-656.919189453125
1777413718.633468,7354,-664.0341796875
1777413718.6774557,7359,-673.343505859375
1777413719.4082677,7368,-660.9822387695312
1777413719.52755,7386,-650.2926635742188
1777413721.1000464,7425,-662.3670654296875
1777413721.176845,7436,-645.3428955078125
1777413721.1827948,7437,-641.3736572265625
1777413721.9609394,7465,-635.5905151367188
1777413721.985975,7469,-627.0214233398438
1777413722.0016975,7471,-622.7941284179688
1777413722.0707161,7483,-620.9859619140625
1777413723.02074,7507,-585.5784301757812
1777413723.0884457,7519,-561.5390014648438
1777413723.7503667,7527,-557.1439208984375
1777413723.7858832,7533,-556.2501831054688
1777413723.8604212,7544,-543.0880737304688
1777413723.906639,7552,-529.36962890625
1777413724.4557898,7554,-540.8912963867188
1777413725.3795218,7594,-541.4639892578125
1777413725.4400675,7603,-536.48876953125
1777413725.452714,7605,-536.65673828125
1777413725.4712062,7608,-533.8412475585938
1777413726.2971828,7639,-530.82861328125
1777413726.336822,7645,-538.1235961914062
1777413727.085713,7661,-532.0092163085938
1777413728.7653847,7728,-525.3484497070312
1777413728.782261,7731,-524.9515991210938
1777413729.2172337,7757,-521.6331787109375
1777413729.247437,7762,-509.1042785644531
1777413730.0420983,7795,-472.6111755371094
1777413730.0490015,7796,-473.9414367675781
1777413730.7353284,7822,-428.9906921386719
1777413730.840507,7839,-410.6424255371094
1777413731.3792508,7843,-419.30352783203125
1777413731.431145,7851,-429.431640625
1777413731.4601545,7856,-433.8129577636719
1777413731.465825,7857,-436.80078125
1777413731.500338,7863,-446.78851318359375
1777413732.2276,7883,-487.80633544921875
1777413732.3069088,7896,-517.9903564453125
1777413732.3456724,7902,-519.7561645507812
1777413733.1234899,7927,-537.8280639648438
1777413733.1418273,7930,-523.4196166992188
1777413734.5633943,7987,-422.3631896972656
1777413736.0116203,8033,-370.6072998046875
1777413736.1588902,8047,-358.4041442871094
1777413736.2275548,8055,-355.4270324707031
1777413737.254239,8078,-393.76068115234375
1777413737.263245,8079,-398.3147888183594
1777413738.0331907,8097,-408.28369140625
1777413738.2437284,8123,-492.8683166503906
1777413739.1571186,8145,-560.0730590820312
1777413740.0202808,8164,-666.9682006835938
1777413740.029041,8165,-680.2349853515625
1777413740.860858,8193,-799.5650634765625
1777413741.0617049,8217,-915.0340576171875
1777413741.8127496,8230,-976.411376953125
1777413742.041506,8256,-1000.3865356445312
1777413742.8344405,8278,-1032.4619140625
1777413742.8697116,8284,-1028.7830810546875
1777413743.517799,8292,-1046.996337890625
1777413743.5469363,8297,-1050.192138671875
1777413744.4731252,8350,-1023.5938110351562
1777413745.083966,8353,-1010.265869140625
1777413745.1587687,8364,-965.5964965820312
1777413745.2523437,8378,-934.4027709960938
1777413745.9158373,8398,-870.989501953125
1777413746.0102873,8412,-825.6753540039062
1777413746.616936,8417,-814.9348754882812
1777413747.5065687,8458,-738.252685546875
1777413748.2936158,8492,-699.498779296875
1777413748.3815405,8505,-704.8223266601562
1777413749.0425858,8522,-705.2158203125
1777413749.1026995,8531,-759.5105590820312
1777413749.8162096,8549,-775.0852661132812
1777413749.8563156,8555,-756.4149780273438
1777413749.9186926,8564,-742.2869262695312
1777413750.7952228,8607,-902.2186279296875
1777413751.423869,8619,-978.1547241210938
1777413751.437991,8621,-984.4498901367188
1777413751.4788551,8628,-987.6568603515625
1777413752.3022137,8660,-1178.882568359375
1777413752.333573,8664,-1198.02490234375
1777413753.2575192,8695,-1215.9287109375
1777413753.3101487,8701,-1212.2799072265625
1777413754.2204645,8719,-1169.0167236328125
1777413754.2704723,8725,-1187.3570556640625
1777413755.275702,8753,-1129.484375
1777413755.292802,8755,-1128.2987060546875
1777413756.2119622,8777,-1051.7169189453125
1777413756.2256024,8779,-1031.0228271484375
1777413756.3122692,8789,-972.8593139648438
1777413756.408478,8800,-946.5956420898438
1777413757.340541,8824,-848.8032836914062
1777413758.0955234,8834,-797.7066040039062
1777413759.0443792,8866,-678.9199829101562
1777413759.0823498,8871,-684.7872314453125
1777413759.1428945,8878,-650.5147094726562
1777413759.2285244,8889,-631.31201171875
1777413759.2774856,8895,-609.1326904296875
1777413760.1805308,8918,-569.3900756835938
1777413760.2093987,8922,-573.6339721679688
1777413761.4194088,8986,-404.3969421386719
1777413761.4527926,8991,-400.3714294433594
1777413762.2146473,9007,-371.35052490234375
1777413763.162328,9034,-349.9441833496094
1777413763.2950013,9050,-386.6017150878906
1777413764.149625,9059,-395.67730712890625
1777413764.2522025,9071,-452.9736633300781
1777413765.2879384,9118,-564.1445922851562
1777413766.135877,9122,-568.84716796875
1777413767.1226172,9153,-593.5415649414062
1777413768.124059,9191,-526.6124267578125
1777413768.1471102,9194,-520.4678344726562
1777413768.2122793,9204,-506.2084655761719
1777413768.27304,9213,-479.7294006347656
1777413768.9104233,9223,-465.3636779785156
1777413768.9373896,9227,-429.6524658203125
1777413769.7311184,9253,-372.5310974121094
1777413770.6526544,9292,-417.2501220703125
1777413770.7350285,9304,-437.744384765625
1777413770.748735,9306,-436.46307373046875
1777413771.443131,9313,-467.6066589355469
1777413771.5198367,9324,-499.97784423828125
1777413771.5465298,9328,-512.5233764648438
1777413771.607519,9337,-569.7830810546875
1777413772.312988,9346,-600.1531982421875
1777413772.3596544,9353,-607.1340942382812
1777413772.40757,9360,-611.7008056640625
1777413772.4479015,9366,-586.923583984375
1777413772.4546912,9367,-587.7875366210938
1777413772.4958699,9373,-579.681396484375
1777413773.1842525,9378,-585.773193359375
1777413773.2529182,9388,-537.8158569335938
1777413774.0590541,9419,-408.87689208984375
1777413774.871318,9442,-310.6950988769531
1777413774.885387,9444,-294.7723083496094
1777413774.9751265,9457,-284.1388244628906
1777413775.7173626,9473,-298.9647521972656
1777413775.8311281,9489,-322.7452392578125
1777413775.8382773,9490,-317.76666259765625
1777413775.8451772,9491,-313.7253112792969
1777413777.3855538,9539,-349.2069091796875
1777413777.4528348,9548,-354.40826416015625
1777413777.5057707,9557,-376.09759521484375
1777413777.5638952,9567,-388.1454772949219
1777413778.3524404,9594,-361.2947692871094
1777413779.0120857,9602,-360.03424072265625
1777413779.046624,9608,-365.9083557128906
1777413779.122273,9621,-344.38824462890625
1777413780.737862,9672,-318.98223876953125
1777413780.744874,9673,-318.9914245605469
1777413780.7659116,9676,-316.48223876953125
1777413780.8843408,9693,-302.4130554199219
1777413781.6367993,9705,-285.8346862792969
1777413781.6828547,9713,-295.423095703125
1777413782.440172,9737,-295.8770446777344
