Wall time,Step,Value
1777534996.6390717,1,9.0
1777534996.649826,2,10.0
1777534996.663962,3,12.0
1777534996.6672914,4,12.0
1777534996.6747234,5,13.0
1777534996.686145,6,15.0
1777534997.3664536,7,16.0
1777534997.3740478,8,17.0
1777534997.3811164,9,18.0
1777534997.3889883,10,19.0
1777534997.4024022,11,23.0
1777534997.4102154,12,11.0
1777534997.4160717,13,14.0
1777534997.4898632,14,17.0
1777534997.4991527,15,36.0
1777534997.51315,16,22.0
1777534997.5281367,17,41.0
1777534997.5393612,18,30.0
1777534997.5452166,19,44.0
1777534997.5584018,20,29.0
1777534997.5677052,21,20.0
1777534997.5753317,22,25.0
1777534997.5866587,23,22.0
1777534997.6000376,24,47.0
1777534997.6577897,25,48.0
1777534997.6673188,26,30.0
1777534997.6800556,27,17.0
1777534997.6920674,28,14.0
1777534997.700572,29,42.0
1777534997.7078068,30,14.0
1777534997.7238078,31,37.0
1777534997.788241,32,19.0
1777534997.7967372,33,21.0
1777534997.8046198,34,19.0
1777534997.809677,35,21.0
1777534997.815878,36,22.0
1777534997.8428419,37,29.0
1777534997.8485746,38,38.0
1777534997.8539047,39,18.0
1777534997.8619974,40,21.0
1777534997.8694835,41,10.0
1777534997.8818536,42,15.0
1777534997.8879955,43,24.0
1777534997.9774764,44,32.0
1777534998.0015383,45,30.0
1777534998.0141475,46,11.0
1777534998.0384665,47,15.0
1777534998.048102,48,46.0
1777534998.0554187,49,26.0
1777534998.0737288,50,16.0
1777534998.1330466,51,18.0
1777534998.1423712,52,49.0
1777534998.170716,53,26.0
1777534998.2003055,54,32.0
1777534998.2134593,55,41.0
1777534998.2212024,56,41.0
1777534998.228168,57,17.0
1777534998.2406483,58,99.0
1777534998.253515,59,32.0
1777534998.29819,60,24.0
1777534998.3061466,61,29.0
1777534998.3212461,62,50.0
1777534998.3321176,63,34.0
1777534998.3568578,64,13.0
1777534998.4377427,65,19.0
1777534998.445522,66,29.0
1777534998.4531214,67,15.0
1777534998.4689856,68,20.0
1777534998.481697,69,27.0
1777534998.4988124,70,36.0
1777534998.5108256,71,40.0
1777534998.5188956,72,21.0
1777534998.5322824,73,13.0
1777534998.5398364,74,43.0
1777534998.5494673,75,19.0
1777534998.558868,76,30.0
1777534998.5760074,77,32.0
1777534998.588662,78,14.0
1777534998.6446977,79,49.0
1777534998.6565394,80,22.0
1777534998.6651564,81,14.0
1777534998.6781595,82,13.0
1777534998.689748,83,39.0
1777534998.7065675,84,11.0
1777534998.7186701,85,21.0
1777534998.7277935,86,29.0
1777534998.7401226,87,28.0
1777534998.813985,88,23.0
1777534998.8269422,89,32.0
1777534998.8353121,90,16.0
1777534998.8501153,91,9.0
1777534998.8550277,92,15.0
1777534998.8640323,93,19.0
1777534998.8756096,94,13.0
1777534998.8865705,95,28.0
1777534998.8930972,96,21.0
1777534998.9007318,97,21.0
1777534998.9172266,98,13.0
1777534998.9870028,99,41.0
1777534999.0027592,100,18.0
1777534999.0122828,101,41.0
1777534999.0270813,102,22.0
1777534999.038421,103,51.0
1777534999.0460596,104,12.0
1777534999.0671046,105,19.0
1777534999.0746982,106,17.0
1777534999.08394,107,27.0
1777534999.144215,108,49.0
1777534999.1518774,109,11.0
1777534999.1640792,110,22.0
1777534999.1929348,111,32.0
1777534999.2009764,112,26.0
1777534999.252699,113,42.0
1777534999.265521,114,41.0
1777534999.2809975,115,35.0
1777534999.2934518,116,27.0
1777534999.2994244,117,34.0
1777534999.3161037,118,32.0
1777534999.3252625,119,39.0
1777534999.385166,120,27.0
1777534999.391039,121,14.0
1777534999.4039023,122,59.0
1777534999.4101872,123,51.0
1777534999.4260175,124,37.0
1777534999.4504735,125,23.0
1777534999.5149689,126,13.0
1777534999.5211177,127,33.0
1777534999.529624,128,51.0
1777534999.5381136,129,23.0
1777534999.5470705,130,37.0
1777534999.555727,131,18.0
1777534999.5703456,132,29.0
1777534999.576346,133,27.0
1777534999.5819678,134,102.0
1777534999.5901937,135,58.0
1777534999.5985055,136,14.0
1777534999.6482537,137,18.0
1777534999.6785538,138,20.0
1777534999.69342,139,35.0
1777534999.7404344,140,53.0
1777534999.7493608,141,44.0
1777534999.7607346,142,24.0
1777534999.7818131,143,22.0
1777534999.8014586,144,40.0
1777534999.8138013,145,31.0
1777534999.8251235,146,69.0
1777534999.8305387,147,45.0
1777534999.8381326,148,21.0
1777534999.8915887,149,20.0
1777534999.9038274,150,63.0
1777534999.9288058,151,23.0
1777534999.953003,152,26.0
1777534999.9595735,153,44.0
1777534999.967662,154,47.0
1777534999.9725,155,49.0
1777535000.046347,156,21.0
1777535000.0553987,157,26.0
1777535000.0645812,158,31.0
1777535000.0769107,159,66.0
1777535000.1473687,160,33.0
1777535000.1563833,161,33.0
1777535000.1699138,162,83.0
1777535000.1812882,163,32.0
1777535000.198453,164,29.0
1777535000.2119265,165,34.0
1777535000.2758274,166,50.0
1777535000.2992535,167,39.0
1777535000.3069816,168,32.0
1777535000.3826191,169,23.0
1777535000.4221885,170,60.0
1777535000.441936,171,37.0
1777535000.458514,172,30.0
1777535000.527841,173,16.0
1777535000.6179926,174,99.0
1777535000.633155,175,48.0
1777535000.6446235,176,27.0
1777535000.7166042,177,71.0
1777535000.727048,178,91.0
1777535000.7347798,179,100.0
1777535000.7904673,180,54.0
1777535000.8292542,181,140.0
1777535000.8954265,182,19.0
1777535000.9077435,183,17.0
1777535000.9254577,184,99.0
1777535000.9310803,185,28.0
1777535001.0078003,186,15.0
1777535001.0158978,187,143.0
1777535001.0359344,188,160.0
1777535001.0445242,189,58.0
1777535001.0679421,190,88.0
1777535001.1543558,191,103.0
1777535001.1760247,192,80.0
1777535001.20903,193,36.0
1777535001.296525,194,24.0
1777535001.3044145,195,161.0
1777535001.3160977,196,180.0
1777535001.3303118,197,52.0
1777535001.3428257,198,33.0
1777535001.364622,199,81.0
1777535001.3766868,200,105.0
1777535001.3937228,201,40.0
1777535001.4494975,202,45.0
1777535001.4551487,203,164.0
1777535001.475552,204,27.0
1777535001.4917436,205,54.0
1777535001.503901,206,67.0
1777535001.5662801,207,16.0
1777535001.5833583,208,46.0
1777535001.6180165,209,29.0
1777535001.7414613,210,118.0
1777535001.8093033,211,72.0
1777535001.8977904,212,76.0
1777535001.9302754,213,68.0
1777535002.0205996,214,101.0
1777535002.0727189,215,22.0
1777535002.1452842,216,13.0
1777535002.202581,217,112.0
1777535002.3050895,218,128.0
1777535002.3374412,219,122.0
1777535002.4356074,220,109.0
1777535002.4502432,221,146.0
1777535002.5565965,222,129.0
1777535002.7228324,223,164.0
1777535002.749595,224,170.0
1777535002.8526917,225,141.0
1777535002.870149,226,208.0
1777535003.0789046,227,219.0
1777535003.107452,228,244.0
1777535003.1847405,229,92.0
1777535003.2132552,230,186.0
1777535003.3138278,231,150.0
1777535003.3199773,232,144.0
1777535003.5295556,233,241.0
1777535003.6404781,234,212.0
1777535003.6527836,235,174.0
1777535003.7529943,236,151.0
1777535003.8436973,237,135.0
1777535003.869615,238,154.0
1777535003.8774526,239,221.0
1777535003.981244,240,112.0
1777535003.9885342,241,117.0
1777535004.0135334,242,222.0
1777535004.144159,243,275.0
1777535004.1524503,244,108.0
1777535004.1624508,245,31.0
1777535004.1893396,246,148.0
1777535004.282957,247,132.0
1777535004.3832324,248,201.0
1777535004.4646018,249,153.0
1777535004.4795742,250,131.0
1777535004.64542,251,122.0
1777535004.6877239,252,149.0
1777535004.8066633,253,128.0
1777535004.8236735,254,104.0
1777535004.8657892,255,167.0
1777535004.878532,256,135.0
1777535004.9334376,257,120.0
1777535005.0260448,258,144.0
1777535005.1002688,259,171.0
1777535005.1662765,260,67.0
1777535005.1817205,261,148.0
1777535005.4093773,262,171.0
1777535005.4508188,263,211.0
1777535005.5422306,264,111.0
1777535005.6048944,265,152.0
1777535005.6924145,266,124.0
1777535005.7029805,267,143.0
1777535005.7845478,268,273.0
1777535005.7917914,269,151.0
1777535005.8829002,270,143.0
1777535005.9233415,271,272.0
1777535006.031152,272,191.0
1777535006.0461664,273,254.0
1777535006.106291,274,149.0
1777535006.2313669,275,276.0
1777535006.3064954,276,176.0
1777535006.3354254,277,127.0
1777535006.354299,278,97.0
1777535006.3754618,279,182.0
1777535006.4543629,280,129.0
1777535006.4901273,281,150.0
1777535006.615257,282,139.0
1777535006.7263315,283,107.0
1777535006.7537298,284,131.0
1777535006.8258333,285,149.0
1777535006.854002,286,139.0
1777535006.904731,287,151.0
1777535007.100856,288,154.0
1777535007.1484418,289,124.0
1777535007.237434,290,136.0
1777535007.2928662,291,171.0
1777535007.299418,292,124.0
