Wall time,Step,Value
1777538990.3729024,5,-88.13101959228516
1777538990.5282605,15,-97.91868591308594
1777538990.533773,16,-96.59851837158203
1777538990.5653644,19,-115.90127563476562
1777538990.5771675,20,-114.81697082519531
1777538990.774415,27,-134.37474060058594
1777538990.7817938,28,-134.52935791015625
1777538991.2781222,41,-134.34576416015625
1777538991.4299297,48,-136.79824829101562
1777538991.4416761,49,-135.99864196777344
1777538991.4750187,50,-142.0107879638672
1777538991.7439597,55,-160.17987060546875
1777538991.9488451,63,-162.650634765625
1777538992.0227573,64,-162.01573181152344
1777538992.1147172,67,-167.032958984375
1777538992.1234028,68,-170.15182495117188
1777538992.2503097,71,-171.85987854003906
1777538992.2752483,72,-170.87734985351562
1777538992.470243,78,-172.15863037109375
1777538992.6155272,83,-174.087158203125
1777538992.7575996,90,-175.6498260498047
1777538993.1770163,100,-173.60157775878906
1777538993.3105314,104,-175.13681030273438
1777538993.475098,108,-180.70997619628906
1777538993.7996795,122,-181.36236572265625
1777538993.9439266,126,-180.5516357421875
1777538994.0592237,127,-179.9537353515625
1777538994.083029,129,-180.14942932128906
1777538994.1571045,131,-180.0435791015625
1777538994.374287,137,-183.54815673828125
1777538994.6206381,145,-184.6307830810547
1777538994.6518812,147,-181.92169189453125
1777538994.6629584,148,-182.2767791748047
1777538994.6973686,151,-175.6969757080078
1777538995.0119035,158,-171.78292846679688
1777538995.1718628,161,-169.22764587402344
1777538995.1996467,163,-172.8528289794922
1777538995.2511294,165,-173.7701416015625
1777538995.4819992,172,-169.6495361328125
1777538995.4988499,173,-169.0906982421875
1777538995.7312574,178,-168.31729125976562
1777538995.8876731,185,-164.76220703125
1777538995.9203632,186,-161.91433715820312
1777538995.9935274,187,-163.21337890625
1777538996.0441005,192,-169.90235900878906
1777538996.0644453,193,-169.1781005859375
1777538996.4208727,204,-168.6066131591797
1777538996.5166318,206,-164.0614013671875
1777538996.775221,212,-166.65628051757812
1777538996.8226867,214,-168.0358428955078
1777538996.904872,216,-168.7698974609375
1777538997.248024,225,-167.83619689941406
1777538997.3982248,230,-169.3123779296875
1777538998.016645,245,-183.672119140625
1777538998.099472,246,-185.71005249023438
1777538998.5315497,259,-201.2861328125
1777538998.5525684,260,-201.70594787597656
1777538998.6259837,261,-203.6371307373047
1777538999.0593076,272,-203.29518127441406
1777538999.0983872,275,-213.5102081298828
1777538999.2192357,279,-209.54554748535156
1777538999.2964694,283,-212.64479064941406
1777538999.3870947,286,-214.68472290039062
1777538999.4390576,289,-208.88771057128906
1777538999.4808211,291,-206.7647247314453
1777538999.720643,296,-208.0272674560547
1777538999.8399441,298,-204.8246612548828
1777538999.8584075,299,-204.08587646484375
1777539000.1726964,309,-199.75424194335938
1777539000.3122618,313,-203.3029022216797
1777539000.3627248,317,-202.88970947265625
1777539000.4932835,319,-202.0885772705078
1777539000.5153015,320,-198.9491424560547
1777539000.6581788,323,-199.05059814453125
1777539001.2101912,338,-187.87156677246094
1777539001.4119158,346,-169.74041748046875
1777539001.4330382,347,-168.3982696533203
1777539001.8528223,359,-150.613037109375
1777539002.1797476,365,-140.33453369140625
1777539002.216158,366,-138.4635467529297
1777539002.420305,367,-140.0438690185547
1777539002.7282329,379,-142.0779571533203
1777539003.0896397,387,-142.0442657470703
1777539003.3269901,391,-142.1883544921875
1777539003.4657435,393,-143.68785095214844
1777539003.5398567,398,-141.39610290527344
1777539003.816273,403,-142.74862670898438
1777539003.972305,405,-142.63304138183594
1777539004.3526316,416,-140.93739318847656
1777539004.6545982,422,-135.12518310546875
1777539004.76184,423,-135.19674682617188
1777539005.3756206,437,-143.06344604492188
1777539005.3935554,438,-144.5292510986328
1777539005.481996,440,-144.3992919921875
1777539005.7038033,444,-141.3032684326172
1777539005.8276079,445,-143.47952270507812
1777539005.9595497,447,-144.33682250976562
1777539006.2319021,453,-145.34719848632812
1777539006.5611546,457,-145.68658447265625
1777539006.735979,462,-144.25205993652344
1777539006.9125102,466,-146.46817016601562
1777539007.189278,469,-148.69346618652344
1777539007.4260125,471,-143.96420288085938
1777539007.5692294,475,-139.84788513183594
1777539007.5942135,476,-138.70326232910156
1777539007.8339384,481,-127.57643127441406
1777539007.8637037,482,-124.61285400390625
1777539008.0964682,488,-118.98469543457031
1777539008.2748375,490,-118.6586685180664
1777539008.4780736,495,-116.48847961425781
1777539009.6049285,511,-100.96585845947266
1777539009.6330595,512,-100.2637939453125
1777539009.6945958,513,-99.04966735839844
1777539009.798793,514,-99.03548431396484
1777539009.82943,515,-99.54310607910156
1777539010.054557,518,-95.00700378417969
1777539010.0794654,519,-94.73761749267578
1777539010.099243,520,-93.56636810302734
1777539010.603774,534,-87.41826629638672
1777539010.722981,535,-85.4896011352539
1777539011.076532,537,-83.69783020019531
1777539011.3383505,539,-81.7491226196289
1777539011.3588746,541,-78.67720794677734
1777539011.6203399,545,-73.96563720703125
1777539011.7672455,547,-70.39978790283203
1777539012.1299663,551,-65.68672943115234
1777539012.2745633,553,-62.97319412231445
1777539012.676633,557,-55.914161682128906
1777539013.126075,563,-51.89793395996094
1777539013.40163,565,-49.91470718383789
1777539013.7680984,569,-45.81329345703125
1777539015.8459826,585,-37.02082824707031
1777539015.8668594,586,-38.49369812011719
1777539016.17569,589,-36.814849853515625
1777539016.4397836,591,-36.8595085144043
1777539016.4566736,592,-36.291343688964844
1777539017.1365328,595,-32.921016693115234
1777539017.4797602,597,-30.86551856994629
1777539018.5791485,609,-31.917682647705078
1777539019.0097988,614,-29.662755966186523
1777539019.1495383,615,-28.812868118286133
1777539020.8119793,623,-26.367101669311523
1777539020.8961895,624,-23.83909034729004
1777539021.3836336,629,-21.0549373626709
1777539021.5228841,630,-19.7109375
1777539022.115335,634,-16.978364944458008
1777539022.9851875,638,-18.064231872558594
1777539023.6091177,644,-20.23862075805664
1777539023.6261466,645,-19.652164459228516
1777539024.1536107,650,-18.1889705657959
1777539024.1813278,652,-16.203235626220703
1777539026.070068,659,-17.17076873779297
1777539026.2306402,661,-17.64366340637207
1777539026.9531858,668,-13.491246223449707
1777539028.066636,676,-6.775245189666748
1777539028.0845687,677,-7.242063999176025
1777539030.1443968,681,-7.423051834106445
1777539031.3163369,685,-5.810924053192139
1777539032.565037,693,3.649738311767578
1777539033.7833993,695,3.958686351776123
1777539036.9569669,711,14.843437194824219
1777539039.2956142,722,12.093795776367188
1777539039.7029188,724,11.033254623413086
1777539039.9701452,726,10.512311935424805
1777539040.069445,727,8.550806999206543
1777539041.1513994,729,6.864873886108398
