Wall time,Step,Value
1777539546.1787403,4,-1196.4818115234375
1777539546.184058,5,-1184.8868408203125
1777539546.2164009,11,-833.1929321289062
1777539546.237474,15,-1121.4417724609375
1777539546.2426233,16,-1037.781005859375
1777539546.25914,19,-652.7650756835938
1777539546.2643816,20,-1514.7718505859375
1777539546.2695262,21,-1801.7607421875
1777539546.2802734,23,-1162.9154052734375
1777539546.2870538,24,-1080.30029296875
1777539546.3037014,27,-1422.8389892578125
1777539546.309669,28,-1558.468017578125
1777539547.718581,39,-1711.6195068359375
1777539547.7311132,41,-1337.1043701171875
1777539547.7742674,48,-1808.70068359375
1777539547.7801726,49,-1574.8223876953125
1777539547.7857246,50,-1140.5753173828125
1777539547.7977302,52,-1734.1219482421875
1777539547.8174906,55,-1270.6441650390625
1777539547.8371694,58,-1256.7720947265625
1777539547.8566368,61,-1208.588134765625
1777539547.8631725,62,-1257.1021728515625
1777539547.8703134,63,-1234.740478515625
1777539547.8762293,64,-1336.2467041015625
1777539549.3147416,66,-1269.1304931640625
1777539549.3219707,67,-1704.6165771484375
1777539549.3287427,68,-1236.4775390625
1777539549.3355727,69,-1128.1800537109375
1777539549.3500347,71,-1177.169677734375
1777539549.3572788,72,-1619.7086181640625
1777539549.4001493,78,-935.1672973632812
1777539549.4127183,80,-1360.483154296875
1777539549.433835,83,-1238.69970703125
1777539549.4547145,86,-1060.6031494140625
1777539549.4830275,90,-1172.05517578125
1777539550.9840524,100,-1701.51708984375
1777539550.9919257,101,-1080.6947021484375
1777539551.0125492,104,-1214.1473388671875
1777539551.0340238,107,-1196.0618896484375
1777539551.0418246,108,-1202.1717529296875
1777539551.0557027,110,-1080.7093505859375
1777539551.1076484,117,-1133.4063720703125
1777539551.1431615,122,-1162.8394775390625
1777539551.1672306,126,-1363.1820068359375
1777539551.1730351,127,-1630.787841796875
1777539552.6229687,129,-1412.97802734375
1777539552.6359982,131,-1058.570556640625
1777539552.6421685,132,-1236.6656494140625
1777539552.687073,137,-1614.490478515625
